,날짜,종가,전일비,시가,고가,저가,거래량
1,2024.04.09,83600.0,900.0,84500.0,84900.0,83100.0,18342168.0
2,2024.04.08,84500.0,0.0,85200.0,86000.0,84500.0,18953232.0
3,2024.04.05,84500.0,800.0,84500.0,85000.0,83800.0,18883752.0
4,2024.04.04,85300.0,1200.0,85200.0,85500.0,84300.0,25248934.0
5,2024.04.03,84100.0,900.0,84300.0,85000.0,83500.0,30493347.0
9,2024.04.02,85000.0,3000.0,82900.0,85000.0,82900.0,37077944.0
10,2024.04.01,82000.0,400.0,83200.0,83300.0,82000.0,20116513.0
11,2024.03.29,82400.0,1600.0,81200.0,82500.0,80900.0,27126366.0
12,2024.03.28,80800.0,1000.0,79400.0,81000.0,79200.0,25084812.0
13,2024.03.27,79800.0,100.0,79200.0,80000.0,79200.0,17424595.0
1,2024.03.26,79900.0,1700.0,79700.0,80100.0,79200.0,30551494.0
2,2024.03.25,78200.0,700.0,79600.0,79800.0,77800.0,18703996.0
3,2024.03.22,78900.0,400.0,79600.0,79900.0,77800.0,26724761.0
4,2024.03.21,79300.0,2400.0,79200.0,79300.0,77700.0,44569799.0
5,2024.03.20,76900.0,4100.0,73700.0,77200.0,73400.0,50106297.0
9,2024.03.19,72800.0,0.0,72300.0,73000.0,71700.0,15376066.0
10,2024.03.18,72800.0,500.0,72600.0,73000.0,72500.0,11520348.0
11,2024.03.15,72300.0,2000.0,73400.0,73700.0,72300.0,22580555.0
12,2024.03.14,74300.0,200.0,74400.0,74500.0,73600.0,22545539.0
13,2024.03.13,74100.0,800.0,73700.0,74100.0,73500.0,15243134.0
1,2024.03.12,73300.0,900.0,72600.0,73500.0,72100.0,13011654.0
2,2024.03.11,72400.0,900.0,72900.0,73100.0,72300.0,9740504.0
3,2024.03.08,73300.0,1100.0,72800.0,73400.0,72600.0,19271349.0
4,2024.03.07,72200.0,700.0,73100.0,73300.0,72200.0,14516963.0
5,2024.03.06,72900.0,800.0,73200.0,73500.0,72700.0,21547905.0
9,2024.03.05,73700.0,1200.0,74600.0,74800.0,73700.0,19505125.0
10,2024.03.04,74900.0,1500.0,74300.0,75000.0,74000.0,23210474.0
11,2024.02.29,73400.0,200.0,72600.0,73400.0,72000.0,21176403.0
12,2024.02.28,73200.0,300.0,72900.0,73900.0,72800.0,11795859.0
13,2024.02.27,72900.0,100.0,73100.0,73400.0,72700.0,13201981.0
